Rule #,Age,SBP (ap_hi),DBP (ap_lo),Cholesterol,Output Function (z)
1,Low,Low,Low,Low,z1 = 0.0194085(Age) + 0.00294687(ap_hi) + 0.0149127(Chol) + 0(ap_lo) + -2.96645
2,Low,Low,Low,Medium,z2 = 0.0169588(Age) + 0.00343891(ap_hi) + 0.00965942(Chol) + 0(ap_lo) + -2.32496
3,Low,Low,Low,High,z3 = 0.00949144(Age) + 0.00261901(ap_hi) + 0.0110573(Chol) + 2.63954e-29(ap_lo) + -1.1953
4,Medium,Low,Low,Low,z4 = 0.0168715(Age) + 0.0039608(ap_hi) + 0.0147893(Chol) + 0(ap_lo) + -2.79037
5,Medium,Low,Low,Medium,z5 = 0.0152223(Age) + 0.00546766(ap_hi) + 0.00267964(Chol) + 0(ap_lo) + -2.00835
6,Medium,Low,Low,High,z6 = 0.00991224(Age) + -0.00130971(ap_hi) + 0.00471531(Chol) + -7.32769e-30(ap_lo) + -0.690378
7,High,Low,Low,Low,z7 = 0.0130076(Age) + 0.00383865(ap_hi) + 0.0199206(Chol) + 0(ap_lo) + -2.59079
8,High,Low,Low,Medium,z8 = 0.0125627(Age) + 0.00382632(ap_hi) + 0.0212257(Chol) + 0(ap_lo) + -2.55384
9,High,Low,Low,High,z9 = 0.00468736(Age) + -0.000484521(ap_hi) + 0.0124893(Chol) + 0(ap_lo) + -0.536964
10,Low,Low,Medium,Low,z10 = 0.00898547(Age) + -0.000686204(ap_hi) + -0.00311288(Chol) + 0(ap_lo) + 0.326727
11,Low,Low,Medium,Medium,z11 = 0.0127089(Age) + 0.00185168(ap_hi) + -0.00502228(Chol) + 0(ap_lo) + -2.63183
12,Low,Low,Medium,High,z12 = -0.000367449(Age) + -3.90532e-06(ap_hi) + -0.00353995(Chol) + -1.06013e-31(ap_lo) + 1.21443
13,Medium,Low,Medium,Low,z13 = 0.00382276(Age) + -0.00111174(ap_hi) + 0.00242356(Chol) + 0(ap_lo) + 1.32316
14,Medium,Low,Medium,Medium,z14 = 0.0114959(Age) + -0.00427635(ap_hi) + 0.0267247(Chol) + 0(ap_lo) + 2.00373
15,Medium,Low,Medium,High,z15 = 0.0102567(Age) + -0.00257424(ap_hi) + -0.0282847(Chol) + 1.30395e-30(ap_lo) + 3.33897
16,High,Low,Medium,Low,z16 = 0.00747483(Age) + -0.00265173(ap_hi) + -0.00220873(Chol) + 0(ap_lo) + 2.5253
17,High,Low,Medium,Medium,z17 = -0.00137863(Age) + -0.00102893(ap_hi) + 0.00486515(Chol) + 0(ap_lo) + 1.75921
18,High,Low,Medium,High,z18 = 0.000295958(Age) + -7.52937e-05(ap_hi) + 0.0471373(Chol) + 3.17864e-31(ap_lo) + -1.88796
19,Low,Low,High,Low,z19 = 0.006916(Age) + -0.000551386(ap_hi) + 0.0116869(Chol) + 0(ap_lo) + 3.08246
20,Low,Low,High,Medium,z20 = 3.59834e-06(Age) + 6.30847e-08(ap_hi) + -2.44858e-07(Chol) + 0(ap_lo) + 0.998864
21,Low,Low,High,High,z21 = 8.55838e-08(Age) + 1.14253e-05(ap_hi) + 1.52098e-08(Chol) + 0(ap_lo) + 0.90804
22,Medium,Low,High,Low,z22 = 0.00251063(Age) + 0.000410623(ap_hi) + -0.222119(Chol) + 0(ap_lo) + 8.54894
23,Medium,Low,High,Medium,z23 = 0.0207849(Age) + -5.80477e-05(ap_hi) + -0.0336436(Chol) + 0(ap_lo) + 0.0710897
24,Medium,Low,High,High,z24 = 1.69327e-07(Age) + 3.19324e-05(ap_hi) + -2.17517e-09(Chol) + 0(ap_lo) + 0.743112
25,High,Low,High,Low,z25 = -0.0280132(Age) + 0.000508067(ap_hi) + 0.0615184(Chol) + 0(ap_lo) + -3.56351
26,High,Low,High,Medium,z26 = 0.00195137(Age) + 0.000545486(ap_hi) + -0.000776304(Chol) + 0(ap_lo) + -4.66201
27,High,Low,High,High,z27 = 1.19045e-07(Age) + 2.40131e-05(ap_hi) + 2.63664e-08(Chol) + 0(ap_lo) + 0.80682
28,Low,Medium,Low,Low,z28 = 0.000431842(Age) + 0.0247617(ap_hi) + 0.0122376(Chol) + 0(ap_lo) + -2.26041
29,Low,Medium,Low,Medium,z29 = 0.00011676(Age) + 0.0251051(ap_hi) + 0.0119548(Chol) + 0(ap_lo) + -2.05443
30,Low,Medium,Low,High,z30 = 0.000649631(Age) + 0.00874278(ap_hi) + 0.00926104(Chol) + 0(ap_lo) + -0.474597
31,Medium,Medium,Low,Low,z31 = 0.000469787(Age) + 0.0242541(ap_hi) + 0.0164384(Chol) + 0(ap_lo) + -2.46029
32,Medium,Medium,Low,Medium,z32 = 0.000331389(Age) + 0.0197749(ap_hi) + -0.0144421(Chol) + 0(ap_lo) + -0.358952
33,Medium,Medium,Low,High,z33 = 0.000247357(Age) + 0.00820568(ap_hi) + 0.00392526(Chol) + 0(ap_lo) + -0.184473
34,High,Medium,Low,Low,z34 = 0.000102321(Age) + 0.011982(ap_hi) + 0.011514(Chol) + 0(ap_lo) + -1.11094
35,High,Medium,Low,Medium,z35 = -0.000269187(Age) + 0.00916127(ap_hi) + 0.050991(Chol) + 0(ap_lo) + -3.06254
36,High,Medium,Low,High,z36 = 0.00031967(Age) + 0.00425314(ap_hi) + 0.0111077(Chol) + -4.46485e-31(ap_lo) + -0.271142
37,Low,Medium,Medium,Low,z37 = 0.00135899(Age) + 0.000188918(ap_hi) + 0.00712345(Chol) + 0(ap_lo) + 0.0550549
38,Low,Medium,Medium,Medium,z38 = 0.00672982(Age) + 0.00077256(ap_hi) + -0.00164767(Chol) + 0(ap_lo) + -0.800973
39,Low,Medium,Medium,High,z39 = 2.43382e-05(Age) + 1.5262e-05(ap_hi) + -0.000228691(Chol) + 7.53327e-34(ap_lo) + 0.989023
40,Medium,Medium,Medium,Low,z40 = 0.00250514(Age) + -0.00107668(ap_hi) + 0.00166617(Chol) + 0(ap_lo) + 1.51573
41,Medium,Medium,Medium,Medium,z41 = 0.00862788(Age) + -0.00092956(ap_hi) + 0.00134159(Chol) + 0(ap_lo) + 0.380746
42,Medium,Medium,Medium,High,z42 = 0.00692331(Age) + -0.000420001(ap_hi) + -0.0032702(Chol) + -8.87038e-34(ap_lo) + 0.362109
43,High,Medium,Medium,Low,z43 = 0.00521948(Age) + -0.00116926(ap_hi) + -0.00516567(Chol) + 0(ap_lo) + 1.53995
44,High,Medium,Medium,Medium,z44 = -2.17027e-05(Age) + 0.000599817(ap_hi) + -0.00299783(Chol) + 0(ap_lo) + 0.393558
45,High,Medium,Medium,High,z45 = 0.00335972(Age) + -0.00172931(ap_hi) + 0.00906157(Chol) + -1.51343e-32(ap_lo) + 1.57897
46,Low,Medium,High,Low,z46 = 0.00146448(Age) + -0.000817928(ap_hi) + 0.000332362(Chol) + 0(ap_lo) + 6.40477
47,Low,Medium,High,Medium,z47 = -2.60065e-08(Age) + 3.57295e-08(ap_hi) + 4.40654e-10(Chol) + 0(ap_lo) + 0.99966
48,Low,Medium,High,High,z48 = 1.56088e-10(Age) + 1.09456e-07(ap_hi) + 1.51964e-10(Chol) + 7.22841e-39(ap_lo) + 0.998927
49,Medium,Medium,High,Low,z49 = 0.00915671(Age) + -0.000147476(ap_hi) + -0.00218495(Chol) + 0(ap_lo) + 0.619304
50,Medium,Medium,High,Medium,z50 = 0.000670213(Age) + 4.58898e-05(ap_hi) + -0.000261718(Chol) + 0(ap_lo) + 0.463842
51,Medium,Medium,High,High,z51 = 3.4121e-10(Age) + 1.11105e-06(ap_hi) + 3.18422e-10(Chol) + 0(ap_lo) + 0.991062
52,High,Medium,High,Low,z52 = -0.00555486(Age) + 0.000463609(ap_hi) + 0.000205953(Chol) + 0(ap_lo) + -2.71555
53,High,Medium,High,Medium,z53 = 2.42994e-05(Age) + 0.0005565(ap_hi) + -6.52395e-06(Chol) + 0(ap_lo) + -4.56523
54,High,Medium,High,High,z54 = -8.39675e-10(Age) + 1.1837e-06(ap_hi) + -4.76355e-10(Chol) + 2.43899e-35(ap_lo) + 0.990478
55,Low,High,Low,Low,z55 = -3.20693e-07(Age) + -0.000164115(ap_hi) + -0.000864841(Chol) + 0(ap_lo) + 1.05876
56,Low,High,Low,Medium,z56 = 2.12283e-15(Age) + 2.94221e-15(ap_hi) + 1.82716e-13(Chol) + 0(ap_lo) + 1
57,Low,High,Low,High,z57 = 0(Age) + 0(ap_hi) + 0(Chol) + 0(ap_lo) + 0
58,Medium,High,Low,Low,z58 = -0.000161625(Age) + -0.0283646(ap_hi) + -0.0625931(Chol) + 0(ap_lo) + 8.26479
59,Medium,High,Low,Medium,z59 = 1.71181e-13(Age) + -3.58066e-15(ap_hi) + 3.08159e-13(Chol) + 0(ap_lo) + 1
60,Medium,High,Low,High,z60 = 0(Age) + 0(ap_hi) + 0(Chol) + 0(ap_lo) + 0
61,High,High,Low,Low,z61 = -0.000426134(Age) + 0.0238635(ap_hi) + -0.0177523(Chol) + 0(ap_lo) + 4.75941
62,High,High,Low,Medium,z62 = 7.33858e-11(Age) + -3.57415e-14(ap_hi) + -4.65565e-14(Chol) + 0(ap_lo) + 0.999999
63,High,High,Low,High,z63 = 0(Age) + 0(ap_hi) + 0(Chol) + 0(ap_lo) + 0
64,Low,High,Medium,Low,z64 = 0(Age) + 0(ap_hi) + 0(Chol) + 0(ap_lo) + 0
65,Low,High,Medium,Medium,z65 = 0(Age) + 0(ap_hi) + 0(Chol) + 0(ap_lo) + 0
66,Low,High,Medium,High,z66 = 0(Age) + 0(ap_hi) + 0(Chol) + 0(ap_lo) + 0
67,Medium,High,Medium,Low,z67 = 0(Age) + 0(ap_hi) + 0(Chol) + 0(ap_lo) + 0
68,Medium,High,Medium,Medium,z68 = 0(Age) + 0(ap_hi) + 0(Chol) + 0(ap_lo) + 0
69,Medium,High,Medium,High,z69 = 0(Age) + 0(ap_hi) + 0(Chol) + 0(ap_lo) + 0
70,High,High,Medium,Low,z70 = 0(Age) + 0(ap_hi) + 0(Chol) + 0(ap_lo) + 0
71,High,High,Medium,Medium,z71 = 0(Age) + 0(ap_hi) + 0(Chol) + 0(ap_lo) + 0
72,High,High,Medium,High,z72 = 0(Age) + 0(ap_hi) + 0(Chol) + 0(ap_lo) + 0
73,Low,High,High,Low,z73 = 2.64127e-12(Age) + -8.85429e-14(ap_hi) + -9.74932e-14(Chol) + 0(ap_lo) + 0.999699
74,Low,High,High,Medium,z74 = 1.18536e-20(Age) + -4.68169e-21(ap_hi) + -8.50562e-24(Chol) + 0(ap_lo) + 1
75,Low,High,High,High,z75 = 0(Age) + 0(ap_hi) + 0(Chol) + 0(ap_lo) + 0
76,Medium,High,High,Low,z76 = -3.81948e-08(Age) + -1.28103e-10(ap_hi) + -4.69125e-11(Chol) + 0(ap_lo) + 0.376271
77,Medium,High,High,Medium,z77 = 1.34599e-15(Age) + -8.47871e-16(ap_hi) + -8.35626e-19(Chol) + 0(ap_lo) + 1
78,Medium,High,High,High,z78 = 0(Age) + 0(ap_hi) + 0(Chol) + 0(ap_lo) + 0
79,High,High,High,Low,z79 = -2.1425e-08(Age) + 1.04096e-10(ap_hi) + -5.62084e-11(Chol) + 0(ap_lo) + 0.386802
80,High,High,High,Medium,z80 = 0(Age) + 0(ap_hi) + 0(Chol) + 0(ap_lo) + 0
81,High,High,High,High,z81 = 0(Age) + 0(ap_hi) + 0(Chol) + 0(ap_lo) + 0
